time, dry1, wett1, dry2, wett2, sensor1, sensor2, averageinprocent, moisturestartprocent, starthour, endhour, temperature, jobcounter, maxjobs, wateringduration, pauzeduration, lastwateringtime, ValveStatus, watergifttimer, pauzetimer, outputread, errorflag,
0:03:05,795,435,795,435,98,100,99,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:03:06,795,435,795,435,98,99,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:07,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:08,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:09,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:10,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:11,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:12,795,435,795,435,98,99,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:13,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:14,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:15,795,435,795,435,98,99,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:16,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:17,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:18,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:19,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:03:20,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:21,795,435,795,435,98,100,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:22,795,435,795,435,98,99,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:23,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:24,795,435,795,435,98,99,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:25,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:26,795,435,795,435,98,99,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:27,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:28,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:29,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:30,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:31,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:32,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:33,795,435,795,435,98,99,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:34,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:35,795,435,795,435,98,100,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:36,795,435,795,435,98,99,99,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:03:37,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:03:38,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:39,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:40,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:41,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:42,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:43,795,435,795,435,98,99,99,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:03:44,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:45,795,435,795,435,98,99,99,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:46,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:47,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:48,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
